Order ID	Job ID	Job Name	Job Description	Imprints	Proof Image URL

10678	540	Marine ROTC Shirts	Maize ink on front and back of black shirts.	"[""1C-F, 1C-B""]"
10682	541	Shepard of the Lakes	"Black Hanes Tagless Tees  short and long sleeve. White ink  left chest imprint @ 4.25"" wide."	"[""1C-LC""]"
10716	543	Roly Poly T-shirt Trade	Tan shirts with two color print on chest. Sand polo.	"[""2C-F""]"
10720	544	Phi Chi Theta Rush Shirts	Safety Green Gildan 2000 shirts with black ink on front and back. Glow in the dark ink laid over the black.	"[""1C-F, 1C-B""]"
10779	545	Help the Bear	Military Green Gildan 2000 t-shirts. Creme colored ink on front.	"[""1C-F""]"
10780	546	Vertigo	Full color digital print across chest of white American Apparel t-shirts.	"[""Direct To Garment,Front""]"
10782	547	Slayton	Black shirts with three inks. Full chest. Red and yellow halftone-ed over white.	"[""3C-F""]"
10783	548	UM Ski and Snowboard Club	Navy blue t-shirts with maize ink on front and back. Our logo on left sleeve (opposite left chest print).	"[""1C-F, 1C-B, 1C-LSP""]"
10788	549	Creeperface!	One Kelly green Gildan 2000 t-shirt with digital print on front.	"[""Direct To Garment,Front""]"
10792	550	Ballin Out of Control	Black shirts with white and maize ink on front. Gold numbers on back + our logo in gold on back.	"[""2C-F, 1C-B""]"
10845	552	Allegra Printing: UM Nursing	Gildan 5400 long sleeve navy t-shirts. PMS 143 ink.	"[""1C-F""]"
10922	553	Black Totes	Lavender ink on front and back.	"[""1C-F, 1C-B""]"
11078	554	Pi Kapps 70 Man Wolf Pack  Round 2	Navy blue shirts with light blue and white ink.	"[""2C-F""]"
11079	555	Pro Tech Guard	Black polos with white and turquoise print on left chest.	"[""2C-LC""]"
11089	556	Zombie Etiquette	Orange shirts with black ink on front and back.	"[""1C-F, 1C-B""]"
11095	562	Personal T-shirt	Sunshine / daisy t-shirt. Navy ink.	"[""1C-F""]"
11095	563	Michigan Block MaizeT-Shirt	Sunshine / daisy t-shirt. Navy ink.	"[""1C-F""]"
11095	564	Michigan Logo Maize T-shirt	Sunshine / daisy t-shirt. Navy ink.	"[""1C-F""]"
11097	565	RStudioz Tees	White tees with digital print on front and back.	"[""Direct To Garment,Front,Back""]"
10922	566	Lavender T-shirts with black ink	Lavender American Apparel 2102 shirts with black ink on front.	"[""1C-F""]"
11139	567	RAK	Kelly green shirts with black ink on front and back.	"[""1C-F, 1C-B""]"
11144	568	Cat Suit	Scoop Neck Bella 8703. Berry shirt  black ink.	"[""1C-F""]"
11144	569	Ebony Silhouette	Burnout #8601 Bella. Soft Pink shirt  brown ink.	"[""1C-F""]"
11144	570	G Logo	Scoop Neck Bella 8703. Black shirt  fuchsia ink. Plastisol.	"[""1C-F""]"
11144	571	GG Squat	Scoop Neck Bella 8703. White shirt  black ink. Water-based.	"[""1C-F""]"
11144	572	GG	Scoop Neck Bella 8703. White shirt  fuchsia ink. DTG.	"[""Direct To Garment,Front""]"
11144	573	Gina Geans	Scoop Neck Bella 8703. White shirt  fuchsia ink. DTG.	"[""Direct To Garment,Front""]"
11144	574	Mini Skirt	Burnout #8601 Bella. Soft pink shirt  black ink. Water-based.	"[""1C-F""]"
11144	575	Posh Spice	Scoop Neck #8703 Bella. Berry shirt  black ink.	"[""1C-F""]"
11144	576	Punk Rock	Burnout #8601 Bella. Soft Pink shirt  black ink. Water-based.	"[""1C-F""]"
11147	577	Christian's Starship Shirt	Gildan 2000 ice gray. Medium. Digital print on front chest and left bottom.	"[""Direct To Garment,Front""]"
11148	578	Philip's T-shirts	White shirts with digital print on front and back.	"[""Direct To Garment,Front,Back""]"
11150	579	Monte Pittman: Out of the Black	Ash gray shirts with half-toned black print on front chest.	"[""1C-F""]"
11187	580	BHS Flutes	Sapphire Gildan shirts with light pink ink on front and back.	"[""1C-F, 1C-B""]"
11201	581	Silver Maples Polos 3	Left chest Silver Maple Logo  White Ink	"[""1C-LC""]"
11247	583	UM Pre-Dental	Three color front  one color back print on Gildan Metro-Blue shirts.	"[""Screen Print,3-C,Front"", ""Screen Print,1-C,Back""]"
11249	584	Aurora Facilitator	Navy hoodies. Maroon and white ink on front. White on back. FACILITATOR beneath logo on front.	"[""2C-F, 1C-B""]"
11249	585	MARKETING COMMITTEE	Navy hoodies. Maroon and white ink on front. White on back. MARKETING COMMITTEE beneath logo on front.	"[""2C-F, 1C-B""]"
11253	586	Michigan Nursing T-shirts	Black unisex shirts with white underbase and three color florescent print on front and back + our logo.	"[""4C-F, 4C-B""]"
11259	587	Kill the Author Tees	White Gildan 2000 t-shirts with black ink on front chest.	"[""1C-F""]"
11262	588	Google Kilo	Light Blue American Apparel 2001. Digital print on front and back.	"[""Direct To Garment,Front,Back""]"
11263	589	Google Kilo	Light Blue American Apparel 2001. Digital print on front and back.	"[""Direct To Garment,Front,Back""]"
11301	590	SAAN January Order	Navy short sleeve t-shirts with white and maroon ink on front  white on back. Our logo in white and maroon on sleeve.	"[""2C-F, 1C-B, 2C-S""]"
11302	591	School of Ice Dancing	White under-armour style Nike shirt with black print on full chest. Add stretch additive.	"[""1C-F""]"
11378	592	Sapphire Swimming Shirt for Katherine	Medium Sapphire Gildan 2000 shirt with black ink on front and back. Digital print.	"[""Direct To Garment,Front,Back""]"
